ShipmentID,ProductID,WarehouseID,Carrier,ShipDate,RequestedDate,DeliveredDate,Qty,Revenue,FreightCost,OnTimeFlag,TransitDays
80001,103,1,RegionalX,2024-01-01,2024-01-06,2024-01-05,50,37.5,1.16,1,4
80002,111,4,RegionalX,2024-01-01,2024-01-04,2024-01-04,50,475.0,23.34,1,3
80003,110,1,GroundCo,2024-01-01,2024-01-05,2024-01-05,10,82.5,2.55,1,4
80004,110,3,GroundCo,2024-01-01,2024-01-05,2024-01-06,25,206.25,6.1,0,5
80005,110,2,RegionalX,2024-01-01,2024-01-04,2024-01-05,25,206.25,7.89,0,4
80006,113,1,GroundCo,2024-01-02,2024-01-06,2024-01-05,10,29.5,1.04,1,3
80007,113,4,RegionalX,2024-01-02,2024-01-07,2024-01-06,20,59.0,1.88,1,4
80008,110,3,GroundCo,2024-01-02,2024-01-06,2024-01-06,25,206.25,6.87,1,4
80009,105,4,RegionalX,2024-01-02,2024-01-07,2024-01-06,100,650.0,30.26,1,4
80010,105,2,GroundCo,2024-01-03,2024-01-07,2024-01-07,40,260.0,8.32,1,4
80011,106,1,GroundCo,2024-01-03,2024-01-09,2024-01-07,50,495.0,18.79,1,4
80012,111,3,GroundCo,2024-01-03,2024-01-07,2024-01-08,25,237.5,7.72,0,5
80013,113,2,RegionalX,2024-01-03,2024-01-06,2024-01-07,50,147.5,6.08,0,4
80014,103,3,GroundCo,2024-01-03,2024-01-07,2024-01-06,75,56.25,1.51,1,3
80015,109,1,RegionalX,2024-01-03,2024-01-06,2024-01-06,25,300.0,12.61,1,3
80016,110,1,GroundCo,2024-01-04,2024-01-10,2024-01-07,50,412.5,17.53,1,3
80017,111,1,RegionalX,2024-01-04,2024-01-07,2024-01-06,10,95.0,3.83,1,2
80018,113,2,AirFast,2024-01-04,2024-01-05,2024-01-05,75,221.25,15.13,1,1
80019,111,4,AirFast,2024-01-05,2024-01-07,2024-01-07,25,237.5,19.28,1,2
80020,106,3,GroundCo,2024-01-05,2024-01-10,2024-01-09,10,99.0,3.38,1,4
80021,101,3,AirFast,2024-01-05,2024-01-06,2024-01-06,25,30.0,2.71,1,1
80022,110,4,GroundCo,2024-01-06,2024-01-10,2024-01-10,40,330.0,10.0,1,4
80023,111,1,AirFast,2024-01-06,2024-01-08,2024-01-07,75,712.5,40.78,1,1
80024,112,3,RegionalX,2024-01-06,2024-01-10,2024-01-10,10,157.5,5.6,1,4
80025,101,4,GroundCo,2024-01-06,2024-01-11,2024-01-16,75,90.0,2.41,0,10
80026,108,4,GroundCo,2024-01-07,2024-01-11,2024-01-10,75,405.0,13.39,1,3
80027,112,4,GroundCo,2024-01-07,2024-01-12,2024-01-11,50,787.5,28.01,1,4
80028,111,1,GroundCo,2024-01-07,2024-01-12,2024-01-11,100,950.0,36.59,1,4
80029,105,2,GroundCo,2024-01-07,2024-01-12,2024-01-11,10,65.0,2.41,1,4
80030,115,1,RegionalX,2024-01-07,2024-01-11,2024-01-11,25,174.75,7.32,1,4
80031,104,2,GroundCo,2024-01-07,2024-01-13,2024-01-15,10,4.5,0.1,0,8
80032,113,3,GroundCo,2024-01-08,2024-01-13,2024-01-14,100,295.0,6.96,0,6
80033,101,3,RegionalX,2024-01-08,2024-01-12,2024-01-12,10,12.0,0.57,1,4
80034,108,2,RegionalX,2024-01-08,2024-01-11,2024-01-10,20,108.0,4.7,1,2
80035,108,1,GroundCo,2024-01-09,2024-01-13,2024-01-14,75,405.0,11.14,0,5
80036,105,1,GroundCo,2024-01-09,2024-01-15,2024-01-12,20,130.0,3.6,1,3
80037,110,2,GroundCo,2024-01-09,2024-01-14,2024-01-14,20,165.0,6.27,1,5
80038,102,2,GroundCo,2024-01-10,2024-01-14,2024-01-15,100,160.0,4.88,0,5
80039,102,1,GroundCo,2024-01-10,2024-01-15,2024-01-14,100,160.0,5.92,1,4
80040,108,2,AirFast,2024-01-10,2024-01-11,2024-01-12,10,54.0,4.18,0,2
80041,113,2,GroundCo,2024-01-10,2024-01-14,2024-01-13,40,118.0,4.29,1,3
80042,112,3,GroundCo,2024-01-10,2024-01-15,2024-01-13,100,1575.0,48.81,1,3
80043,109,4,GroundCo,2024-01-11,2024-01-17,2024-01-16,20,240.0,8.01,1,5
80044,108,1,RegionalX,2024-01-11,2024-01-15,2024-01-13,100,540.0,24.27,1,2
80045,104,1,AirFast,2024-01-11,2024-01-14,2024-01-13,10,4.5,0.22,1,2
80046,108,2,GroundCo,2024-01-11,2024-01-15,2024-01-16,20,108.0,4.4,0,5
80047,115,4,GroundCo,2024-01-11,2024-01-17,2024-01-18,20,139.8,5.16,0,7
80048,104,4,GroundCo,2024-01-12,2024-01-17,2024-01-17,50,22.5,0.41,1,5
80049,109,2,GroundCo,2024-01-12,2024-01-17,2024-01-15,10,120.0,5.61,1,3
80050,112,4,RegionalX,2024-01-12,2024-01-16,2024-01-16,25,393.75,21.86,1,4
80051,104,1,GroundCo,2024-01-12,2024-01-16,2024-01-15,10,4.5,0.1,1,3
80052,104,1,GroundCo,2024-01-12,2024-01-16,2024-01-15,40,18.0,0.36,1,3
80053,103,4,GroundCo,2024-01-13,2024-01-19,2024-01-17,40,30.0,1.03,1,4
80054,104,3,GroundCo,2024-01-13,2024-01-19,2024-01-16,75,33.75,0.64,1,3
80055,108,4,GroundCo,2024-01-13,2024-01-18,2024-01-17,100,540.0,19.83,1,4
